"","H1.Bulk.28.FD.mapped.bam","H1.Bulk.29.mapped.bam","H1.Bulk.30.mapped.bam","H1.Bulk.Litter.4.mapped.bam","H1.Bulk.Litter.5.mapped.bam","H1.Bulk.Litter.6.mapped.bam","H1.Rhizo.25.mapped.bam","H1.Rhizo.26.FD.mapped.bam","H1.Rhizo.27.mapped.bam","H1.Rhizo.Litter.1.mapped.bam","H1.Rhizo.Litter.2.mapped.bam","H1.Rhizo.Litter.3.mapped.bam","H2.Bulk.34.mapped.bam","H2.Bulk.35.mapped.bam","H2.Bulk.36.mapped.bam","H2.Bulk.Litter.10.mapped.bam","H2.Bulk.Litter.11.mapped.bam","H2.Bulk.Litter.12.mapped.bam","H2.Bulk.Litter.50.mapped.bam","H2.Rhizo.31.mapped.bam","H2.Rhizo.32.mapped.bam","H2.Rhizo.33.mapped.bam","H2.Rhizo.Litter.49.mapped.bam","H2.Rhizo.Litter.7.mapped.bam","H2.Rhizo.Litter.8.mapped.bam","H2.Rhizo.Litter.9.mapped.bam","H3.Bulk.40.mapped.bam","H3.Bulk.41.mapped.bam","H3.Bulk.42.mapped.bam","H3.Bulk.Litter.16.mapped.bam","H3.Bulk.Litter.17.mapped.bam","H3.Rhizo.37.mapped.bam","H3.Rhizo.39.mapped.bam","H3.Rhizo.Litter.13.mapped.bam","H3.Rhizo.Litter.14.mapped.bam","H3.Rhizo.Litter.15.mapped.bam","H4.Bulk.46.mapped.bam","H4.Bulk.47.mapped.bam","H4.Bulk.48.mapped.bam","H4.Bulk.Litter.22.mapped.bam","H4.Bulk.Litter.23.mapped.bam","H4.Bulk.Litter.24.mapped.bam","H4.Rhizo.43.mapped.bam","H4.Rhizo.44.mapped.bam","H4.Rhizo.45.mapped.bam","H4.Rhizo.Litter.19.mapped.bam","H4.Rhizo.Litter.20.mapped.bam","H4.Rhizo.Litter.21.mapped.bam"
"H1_Bulk_Litter_5_scaffold_18706_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_18737_1",2,2,9,4,13,2,10,11,4,8,13,11,6,3,3,9,5,6,4,11,5,6,8,2,13,2,4,3,5,4,12,1,0,10,13,7,0,0,0,0,0,0,0,0,0,2,0,1
"H1_Bulk_Litter_5_scaffold_18782_1",8,5,4,5,22,0,21,12,11,9,39,14,4,10,1,7,4,3,6,18,12,21,29,5,6,2,16,8,5,6,4,0,0,4,3,13,32,18,15,11,15,11,15,14,14,9,4,13
"H1_Bulk_Litter_5_scaffold_18809_1",0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_18878_2",0,0,2,1,7,3,1,1,3,7,2,3,0,1,0,1,2,1,1,5,4,7,2,4,3,0,0,0,1,0,1,3,0,7,1,3,0,1,0,1,0,0,0,0,0,1,0,1
"H1_Bulk_Litter_5_scaffold_19016_2",6,5,4,20,33,29,4,4,6,11,25,28,4,13,1,15,12,21,10,5,8,7,11,10,16,1,21,9,23,11,18,3,0,6,4,6,8,6,1,1,1,5,1,4,3,0,0,0
"H1_Bulk_Litter_5_scaffold_19068_1",2,7,2,5,5,1,7,4,8,2,8,10,4,4,0,1,4,6,3,3,7,5,0,5,5,0,6,2,1,5,4,0,0,3,3,7,1,1,1,1,1,1,0,0,4,1,0,0
"H1_Bulk_Litter_5_scaffold_19068_2",1,2,3,1,2,1,1,3,2,3,4,1,4,2,0,0,2,0,3,2,2,4,0,0,3,1,4,2,1,1,0,0,0,1,6,4,0,0,1,0,2,0,2,1,0,0,1,0
"H1_Bulk_Litter_5_scaffold_19083_2",0,2,0,0,6,1,0,0,1,5,2,1,0,1,0,3,2,1,2,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_19083_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_19083_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_19104_2",3,4,4,3,28,8,7,4,3,10,13,13,4,2,1,15,5,5,9,4,4,2,11,4,7,1,4,1,2,8,7,1,0,5,3,6,3,0,3,2,0,2,0,1,0,2,0,4
"H1_Bulk_Litter_5_scaffold_19218_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_19331_3",3,2,3,43,47,33,4,5,5,38,25,30,12,0,2,15,34,71,5,10,8,7,13,5,25,4,6,4,8,14,12,0,0,10,28,5,0,0,0,1,1,0,6,4,1,2,3,3
"H1_Bulk_Litter_5_scaffold_19565_1",0,0,1,2,8,0,1,3,0,0,1,1,1,1,0,4,4,9,1,0,3,4,3,0,2,0,0,0,0,0,2,2,0,1,0,0,0,0,0,3,3,0,2,0,1,3,1,0
"H1_Bulk_Litter_5_scaffold_19565_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_19578_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_19599_1",1,1,1,0,2,0,2,1,1,1,1,1,1,2,0,1,0,0,1,1,2,1,0,0,0,0,1,3,2,1,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"H1_Bulk_Litter_5_scaffold_19599_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_19736_2",2,2,0,7,20,6,3,1,2,9,5,26,0,1,0,6,4,5,6,0,3,5,6,5,2,0,0,1,0,2,0,15,0,0,2,2,0,0,0,1,0,0,3,2,1,1,2,1
"H1_Bulk_Litter_5_scaffold_19971_1",4,0,0,39,39,29,7,1,3,48,23,51,0,0,0,16,6,33,19,1,1,7,32,4,26,7,2,3,2,2,15,0,0,8,4,9,3,3,3,2,8,5,5,14,9,9,9,8
"H1_Bulk_Litter_5_scaffold_20236_2",0,1,0,6,16,2,0,0,1,4,3,4,1,1,0,12,9,10,12,3,3,2,21,4,7,1,0,3,2,2,4,2,0,3,3,2,0,0,0,1,0,0,2,0,0,1,0,1
"H1_Bulk_Litter_5_scaffold_20236_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20292_2",4,2,1,1,7,9,3,0,2,1,2,2,2,3,7,0,3,1,2,4,1,5,6,2,1,1,2,1,2,0,0,0,0,3,0,1,6,0,2,2,0,4,0,2,4,1,2,2
"H1_Bulk_Litter_5_scaffold_2030_1",14,14,21,51,99,26,18,18,24,41,35,46,22,23,13,34,45,66,36,17,10,23,45,11,31,4,11,15,16,29,17,7,0,17,29,18,7,5,5,6,1,7,7,6,7,1,4,9
"H1_Bulk_Litter_5_scaffold_20345_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20462_1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
"H1_Bulk_Litter_5_scaffold_20467_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20471_1",4,0,3,3,6,2,3,0,4,10,4,7,0,2,2,2,2,4,2,2,18,4,2,10,6,3,8,7,8,13,16,7,0,1,8,5,1,4,4,9,2,1,4,2,4,5,0,4
"H1_Bulk_Litter_5_scaffold_20689_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20694_1",2,4,4,0,2,0,13,4,5,0,3,1,2,0,1,1,0,1,0,1,2,4,9,3,0,0,3,5,3,1,3,0,0,0,0,4,0,1,1,2,1,1,1,2,1,0,1,2
"H1_Bulk_Litter_5_scaffold_20694_2",26,15,11,6,25,5,30,29,26,9,12,13,26,4,34,12,9,6,6,19,16,19,29,12,20,2,33,23,17,9,21,5,1,3,15,14,12,5,6,6,4,7,10,5,12,5,2,6
"H1_Bulk_Litter_5_scaffold_20694_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20768_1",31,37,24,21,37,18,30,32,30,25,34,36,33,31,26,17,20,21,8,31,39,37,42,13,24,0,22,28,26,28,27,14,0,16,25,19,50,43,43,42,39,32,28,30,44,36,31,24
"H1_Bulk_Litter_5_scaffold_2083_1",0,0,0,1,6,2,0,0,1,7,0,1,0,0,0,0,1,5,0,0,0,0,9,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"H1_Bulk_Litter_5_scaffold_20833_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_2083_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_2083_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_2083_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20873_1",2,3,6,1,7,5,8,2,2,14,10,12,2,2,0,2,2,6,4,5,1,15,11,3,7,3,2,5,3,8,5,1,0,11,8,11,1,3,0,2,1,0,2,3,7,1,0,3
"H1_Bulk_Litter_5_scaffold_20927_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20927_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_20986_2",8,11,7,5,13,4,16,15,6,4,8,2,7,2,1,1,7,5,4,6,6,10,11,2,4,0,9,6,8,3,7,4,0,4,6,4,5,1,3,3,2,5,4,4,8,9,2,2
"H1_Bulk_Litter_5_scaffold_2100_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_21023_1",0,0,0,1,2,1,0,0,0,2,4,1,0,0,0,0,1,2,2,0,0,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,1,1,5,0
"H1_Bulk_Litter_5_scaffold_21023_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_21033_1",0,4,4,2,8,1,3,7,4,2,2,1,4,1,0,0,1,1,1,2,1,0,5,2,1,0,5,0,0,2,0,5,11,0,2,2,4,5,5,5,2,7,7,3,5,2,1,3
"H1_Bulk_Litter_5_scaffold_21033_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_21093_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_21162_2",3,2,3,35,59,25,1,2,3,31,19,22,4,2,3,17,20,47,13,5,2,4,8,7,8,2,1,2,0,3,7,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1,2
"H1_Bulk_Litter_5_scaffold_21367_1",5,1,2,11,19,12,4,5,1,32,8,20,0,2,1,3,9,20,10,5,7,11,22,3,11,1,4,2,5,9,22,1,0,4,3,6,1,2,2,2,2,3,4,10,3,2,4,2
"H1_Bulk_Litter_5_scaffold_21367_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_21403_2",0,0,0,0,4,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_21591_1",0,0,0,0,59,0,0,1,1,0,0,0,0,0,0,0,20,6,0,0,0,1,0,1,4,4,0,0,0,4,0,0,0,6,3,0,0,0,0,0,2,1,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_21820_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22070_2",2,1,3,3,3,0,4,4,7,2,1,1,1,4,1,4,0,1,1,1,1,3,1,0,1,2,2,4,5,0,3,2,0,5,7,1,0,1,0,1,0,0,0,0,3,0,1,1
"H1_Bulk_Litter_5_scaffold_22088_1",1,4,3,1,10,2,1,0,4,4,1,3,1,0,0,1,1,1,0,2,5,6,11,2,1,0,6,5,8,0,2,2,2,2,3,0,3,7,6,5,3,2,7,3,6,3,0,6
"H1_Bulk_Litter_5_scaffold_22136_2",5,4,6,6,11,10,4,5,3,7,4,5,5,6,2,4,8,7,2,4,6,2,8,3,11,0,10,2,5,2,7,2,0,3,5,0,0,0,1,0,0,0,1,0,2,1,0,2
"H1_Bulk_Litter_5_scaffold_22305_1",0,2,1,0,1,0,0,0,1,4,0,1,0,1,0,1,0,1,0,9,3,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0
"H1_Bulk_Litter_5_scaffold_22305_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22305_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22474_1",0,0,0,5,13,3,0,0,0,10,9,5,0,0,0,2,0,1,2,0,0,0,6,1,1,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1
"H1_Bulk_Litter_5_scaffold_22474_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22474_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22498_1",0,4,34,7,13,1,4,12,20,6,4,4,3,2,6,1,3,0,6,1,2,2,7,1,4,0,8,2,1,2,4,2,14,0,2,1,4,25,22,20,8,33,3,4,11,7,4,12
"H1_Bulk_Litter_5_scaffold_22498_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22516_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22564_2",0,0,0,2,7,18,0,0,1,2,1,4,0,0,6,8,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22630_1",2,2,3,11,28,2,5,3,3,7,11,11,1,1,3,8,5,11,6,1,5,1,14,7,12,1,7,2,9,19,15,3,2,7,4,7,6,3,1,8,6,4,16,9,3,5,7,16
"H1_Bulk_Litter_5_scaffold_22630_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22837_2",8,4,1,14,55,17,4,4,2,25,15,19,3,4,5,8,14,20,11,0,6,4,27,7,8,1,3,1,8,6,6,6,0,5,14,6,1,1,0,1,0,0,0,0,2,0,1,0
"H1_Bulk_Litter_5_scaffold_22914_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_22965_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23035_1",0,0,6,1,8,0,0,2,3,0,2,2,0,1,0,1,2,0,1,0,2,1,8,0,0,0,0,0,1,3,1,2,0,1,0,2,1,2,3,5,3,7,3,5,4,4,1,3
"H1_Bulk_Litter_5_scaffold_23035_2",6,4,1,5,9,4,2,1,3,2,7,2,3,5,3,1,3,0,0,3,4,5,14,1,2,0,3,5,3,0,3,3,0,3,2,1,4,4,4,1,2,9,5,11,11,3,3,2
"H1_Bulk_Litter_5_scaffold_23192_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23227_1",1,0,2,1,22,1,0,1,1,1,2,3,2,0,1,2,18,9,4,2,1,1,0,1,15,0,1,0,0,0,22,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23267_1",14,12,4,5,7,4,6,6,4,1,8,4,11,9,10,14,15,3,3,5,5,7,11,1,5,0,10,21,15,9,9,4,0,6,12,7,39,18,17,10,15,31,12,9,22,8,14,12
"H1_Bulk_Litter_5_scaffold_23331_2",0,7,2,1,4,2,5,9,4,8,7,4,2,4,5,5,1,3,5,2,5,6,18,2,5,3,6,5,2,5,3,3,0,3,3,1,7,4,6,7,4,6,13,5,3,4,8,4
"H1_Bulk_Litter_5_scaffold_23484_2",1,2,3,1,2,1,2,0,1,1,3,2,1,0,2,3,0,1,2,0,0,2,1,1,0,0,0,0,2,0,1,1,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,1
"H1_Bulk_Litter_5_scaffold_23511_1",2,3,3,4,5,3,9,4,3,1,4,4,4,0,4,5,2,3,0,6,2,4,12,6,5,0,4,3,6,3,2,1,1,1,2,2,3,5,2,3,1,3,3,4,10,3,5,3
"H1_Bulk_Litter_5_scaffold_23511_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23515_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23539_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23684_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23684_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23760_1",3,2,6,2,9,4,1,4,3,2,8,2,4,2,0,2,4,0,0,2,0,7,8,4,4,0,12,2,1,5,1,0,0,2,2,4,5,6,3,2,1,8,0,3,5,1,4,5
"H1_Bulk_Litter_5_scaffold_23760_2",9,6,7,3,16,13,4,11,22,5,7,11,5,10,10,2,6,8,5,5,22,9,15,7,5,1,11,8,10,5,5,16,4,5,4,4,10,13,8,10,4,17,6,10,12,6,7,6
"H1_Bulk_Litter_5_scaffold_23928_2",4,0,1,2,2,4,4,1,1,4,3,0,0,1,0,4,3,3,2,1,1,0,1,0,0,0,2,0,0,5,6,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0
"H1_Bulk_Litter_5_scaffold_23928_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_23983_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24041_1",0,1,2,7,21,4,2,1,2,9,6,7,3,1,0,6,2,9,3,1,2,4,0,0,1,0,4,1,2,0,1,0,0,1,4,3,0,0,0,0,0,0,0,0,1,0,0,1
"H1_Bulk_Litter_5_scaffold_24078_1",3,3,4,5,8,2,8,2,7,6,5,4,1,2,0,3,2,3,3,1,5,0,15,2,2,3,2,0,1,2,11,1,0,21,2,6,0,1,0,3,0,3,1,3,8,3,1,1
"H1_Bulk_Litter_5_scaffold_24078_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24092_1",4,4,6,9,42,6,10,6,9,13,23,15,7,6,5,14,8,19,10,9,4,2,32,10,13,0,15,6,12,9,16,3,0,13,14,8,4,10,8,18,9,7,8,9,8,13,9,11
"H1_Bulk_Litter_5_scaffold_24096_1",2,3,1,3,10,3,0,3,0,5,6,9,3,1,2,3,1,6,3,5,3,1,4,0,1,0,1,2,3,2,0,6,0,0,4,4,2,3,0,2,0,1,2,2,1,1,0,1
"H1_Bulk_Litter_5_scaffold_24105_1",1,1,0,5,9,4,0,1,0,3,3,3,0,1,1,1,1,4,4,1,1,2,1,1,0,0,2,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"H1_Bulk_Litter_5_scaffold_24105_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24146_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24199_2",0,0,1,2,1,0,2,3,0,3,1,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24199_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24212_1",2,0,0,7,7,15,0,6,9,8,8,13,2,12,1,7,6,22,3,1,8,15,3,5,30,11,9,8,5,6,14,7,0,13,14,11,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24212_2",3,2,0,1,9,11,2,4,10,9,5,12,1,4,2,5,5,11,1,6,5,6,6,3,12,0,5,7,6,4,16,1,0,2,19,8,0,0,0,0,0,0,4,0,0,1,0,0
"H1_Bulk_Litter_5_scaffold_24279_2",0,1,2,9,6,5,1,3,0,14,8,3,0,1,0,8,2,5,3,0,5,4,15,5,5,0,1,0,0,3,7,2,1,3,0,3,3,1,2,6,4,7,3,2,0,0,6,1
"H1_Bulk_Litter_5_scaffold_24877_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_24933_2",3,2,0,0,4,1,1,2,1,3,0,0,3,1,3,1,0,0,1,1,4,2,0,0,3,0,0,2,0,2,1,0,0,0,1,1,0,1,1,1,2,0,3,0,0,1,2,0
"H1_Bulk_Litter_5_scaffold_24933_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
