"","H1.Bulk.28.FD.mapped.bam","H1.Bulk.29.mapped.bam","H1.Bulk.30.mapped.bam","H1.Bulk.Litter.4.mapped.bam","H1.Bulk.Litter.5.mapped.bam","H1.Bulk.Litter.6.mapped.bam","H1.Rhizo.25.mapped.bam","H1.Rhizo.26.FD.mapped.bam","H1.Rhizo.27.mapped.bam","H1.Rhizo.Litter.1.mapped.bam","H1.Rhizo.Litter.2.mapped.bam","H1.Rhizo.Litter.3.mapped.bam","H2.Bulk.34.mapped.bam","H2.Bulk.35.mapped.bam","H2.Bulk.36.mapped.bam","H2.Bulk.Litter.10.mapped.bam","H2.Bulk.Litter.11.mapped.bam","H2.Bulk.Litter.12.mapped.bam","H2.Bulk.Litter.50.mapped.bam","H2.Rhizo.31.mapped.bam","H2.Rhizo.32.mapped.bam","H2.Rhizo.33.mapped.bam","H2.Rhizo.Litter.49.mapped.bam","H2.Rhizo.Litter.7.mapped.bam","H2.Rhizo.Litter.8.mapped.bam","H2.Rhizo.Litter.9.mapped.bam","H3.Bulk.40.mapped.bam","H3.Bulk.41.mapped.bam","H3.Bulk.42.mapped.bam","H3.Bulk.Litter.16.mapped.bam","H3.Bulk.Litter.17.mapped.bam","H3.Rhizo.37.mapped.bam","H3.Rhizo.39.mapped.bam","H3.Rhizo.Litter.13.mapped.bam","H3.Rhizo.Litter.14.mapped.bam","H3.Rhizo.Litter.15.mapped.bam","H4.Bulk.46.mapped.bam","H4.Bulk.47.mapped.bam","H4.Bulk.48.mapped.bam","H4.Bulk.Litter.22.mapped.bam","H4.Bulk.Litter.23.mapped.bam","H4.Bulk.Litter.24.mapped.bam","H4.Rhizo.43.mapped.bam","H4.Rhizo.44.mapped.bam","H4.Rhizo.45.mapped.bam","H4.Rhizo.Litter.19.mapped.bam","H4.Rhizo.Litter.20.mapped.bam","H4.Rhizo.Litter.21.mapped.bam"
"H1_Bulk_29_scaffold_10505_2",2,14,3,0,3,0,3,3,1,5,5,0,3,4,13,2,1,3,3,4,6,7,3,4,0,0,3,2,4,3,2,4,0,4,1,5,3,3,2,2,1,11,8,1,4,1,2,6
"H2_Rhizo_Litter_49_scaffold_40036_1",146,132,100,65,98,56,186,120,121,52,106,89,129,96,131,86,105,66,73,136,112,128,260,75,83,8,175,231,121,82,122,64,1,57,104,56,151,126,102,123,65,163,103,88,112,95,61,124
"H1_Bulk_Litter_5_scaffold_31729_1",3,2,5,2,22,5,1,9,8,4,9,3,3,2,2,7,3,5,10,5,5,4,16,3,4,0,2,1,2,2,2,1,0,3,1,5,6,9,2,4,1,1,4,1,2,2,8,8
"H4_Bulk_Litter_24_scaffold_6709_2",114,124,88,61,64,62,146,105,80,35,108,67,79,70,88,46,56,51,66,66,121,113,313,79,82,7,182,168,66,56,109,94,0,60,71,46,140,144,113,222,40,265,114,114,160,151,83,123
"H1_Rhizo_26_FD_scaffold_22160_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_32_scaffold_18330_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_33_scaffold_21969_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_Litter_49_scaffold_14152_1",10,8,9,4,8,3,7,6,8,6,8,3,7,5,8,7,5,5,8,6,9,15,16,7,3,2,3,7,3,7,3,7,0,5,3,4,2,0,2,1,0,1,3,5,4,0,2,2
"H2_Bulk_Litter_12_scaffold_5373_1",11,19,5,7,13,6,6,8,14,4,13,10,11,19,7,10,5,17,10,7,26,17,28,6,17,1,8,18,8,8,11,12,0,3,12,7,0,2,0,1,0,4,5,1,6,4,2,9
"H2_Bulk_Litter_50_scaffold_5374_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_Bulk_41_scaffold_2837_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_Rhizo_Litter_14_scaffold_14754_1",7,5,1,1,3,4,6,3,2,8,6,6,3,1,1,10,7,10,9,15,2,3,33,6,9,0,6,11,1,6,2,0,0,6,41,11,1,19,4,4,24,22,3,7,5,9,26,58
"H1_Rhizo_25_scaffold_13243_1",42,24,26,8,25,11,34,18,15,21,21,17,36,39,19,22,12,14,26,14,33,35,37,27,16,5,24,28,17,17,9,24,0,13,22,14,2,6,3,2,3,6,2,6,22,7,2,14
"H3_Rhizo_Litter_14_scaffold_23076_1",0,0,3,1,6,1,0,5,2,1,4,1,0,1,0,4,3,3,1,3,0,1,1,0,0,5,1,1,1,1,0,0,0,0,15,2,0,0,1,0,0,1,0,0,0,1,4,3
"H3_Bulk_41_scaffold_20989_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_Bulk_Litter_16_16324_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_30_scaffold_2298_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_Bulk_Litter_16_6298_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_Rhizo_Litter_14_scaffold_3040_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4_Bulk_48_scaffold_12095_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
